Destination,Property Name,Property Type,Website,Status,Research Date,Notes,Max Guests,Sleeping Capacity,Number of Units,Largest Gathering Space Capacity,Private Buyout Possible (Y/N),Can Reserve 1 Year In Advance,Multi-Generational Friendly (1-5),ADA Accessibility (1-5),Estimated Reunion Cost,Cost Per Family,Cost Score (1-10),Includes Meals (Y/N),Additional Fees,Value Score (1-10),Nearest Airport,Airport Drive Time (min),Direct Flights from NYC (1-5),Direct Flights from ATL/Southeast (1-5),Direct Flights from Midwest (1-5),Direct Flights from West Coast (1-5),Travel Convenience Score (1-10),On-Site Activities Count,Swimming (Y/N),Water Sports (Y/N),Hiking (Y/N),Kids Programs (Y/N),Teen Activities (Y/N),Adult Activities (Y/N),Indoor Backup Activities (Y/N),Activity Score (1-10),Exclusive Gathering Areas (1-5),Group Dining Options (1-5),Reunion Programming Support (1-5),Campfire/Event Spaces (1-5),Privacy Score (1-10),Reunion Suitability Score (1-10),Scenic Quality (1-10),Water Access (1-5),Mountain Access (1-5),Wildlife Viewing (1-5),Nearby National Park (Y/N),Signature Attraction,Beauty Score (1-10),Typical July High,Typical July Low,Humidity Score (1-10),Weather Reliability Score (1-10),Ages 3-8 Score,Ages 9-13 Score,Teen Score,Overall Kid Appeal (1-10),Outdoor Recreation Score,Relaxation Score,Food & Beverage Score,Nearby Town Appeal Score,Adult Appeal Score (1-10),Cell Service,WiFi Quality,Medical Facility Distance,Grocery Distance,Logistics Score (1-10),Overall Weighted Score,Final Rank
Hershey / Lancaster, Pennsylvania,The Hotel Hershey,Resort,,Candidate,2026-05-23,Historic luxury Hershey resort; higher-cost tier.,,,,,,Likely; verify,,,,,,,,,MDT,20-50,,,,,,Y,,,,,,Y,,,,,,,,,,,,Hersheypark / Lancaster County,,,,,,,,,,,,,,,,,,
Hershey / Lancaster, Pennsylvania,Hershey Farm Resort,Resort/Inn,,Finalist Candidate,2026-05-23,Top-tier Hershey/Lancaster candidate in prior ranking.,,,,,,Likely; verify,,,,,,,,,MDT,20-50,,,,,,,,,,,,,,,,,,,,,Hersheypark / Lancaster County,,,,,,,,,,,,,,,,,,
Hershey / Lancaster, Pennsylvania,Lancaster Marriott at Penn Square,Hotel,,Candidate,2026-05-23,Downtown hotel/convention option; less cabin-like.,,,,,,Likely; verify,,,,,,,,,MDT,20-50,,,,,,,,,,,,Y,,,,,,,,,,,,Hersheypark / Lancaster County,,,,,,,,,,,,,,,,,,
Hershey / Lancaster, Pennsylvania,Hersheypark Camping Resort,Campground/Cabins,,Candidate,2026-05-23,Cabin/RV/campground option near Hershey attractions.,,,,,,,,,,,,,,,,MDT,20-50,,,,,,Y,,,,,,,,,,,,,,,,Hersheypark / Lancaster County,,,,,,,,,,,,,,,,,,
Hershey / Lancaster, Pennsylvania,The Suites at Hershey,Condo Resort,,Finalist Candidate,2026-05-23,Early Hershey-area serious contender; suite/condo format.,,,,,,Likely; verify,,,,,,,,,MDT,20-50,,,,,,Y,,,,,,,,,,,,,,,,Hersheypark / Lancaster County,,,,,,,,,,,,,,,,,,
Hershey / Lancaster, Pennsylvania,Eden Resort & Suites,Hotel/Resort,,Candidate,2026-05-23,Lancaster suite/resort option considered.,,,,,,Likely; verify,,,,,,,,,MDT,20-50,,,,,,Y,,,,,,Y,,,,,,,,,,,,Hersheypark / Lancaster County,,,,,,,,,,,,,,,,,,
Hershey / Lancaster, Pennsylvania,The Inn at Leola Village,Inn/Resort,,Candidate,2026-05-23,Lancaster County boutique inn option considered.,,,,,,Likely; verify,,,,,,,,,MDT,20-50,,,,,,Y,,,,,,Y,,,,,,,,,,,,Hersheypark / Lancaster County,,,,,,,,,,,,,,,,,,
Hershey / Lancaster, Pennsylvania,The Villas at The Hotel Hershey,Villa Resort,,Candidate,2026-05-23,Villa-style Hershey lodging option.,,,,,,Likely; verify,,,,,,,,,MDT,20-50,,,,,,Y,,,,,,Y,,,,,,,,,,,,Hersheypark / Lancaster County,,,,,,,,,,,,,,,,,,
Wisconsin Dells, Wisconsin,Cedar Lodge & Settlement,Cabins/Villas,,Finalist Candidate,2026-05-23,Top Wisconsin Dells/Lake Geneva candidate in one ranking.,,,,,,,,,,,,,,,,MSN,55,,,,,,Y,Y,,,Y,,,,,,,,,,,,,Wisconsin lake country / Dells,,,,,,,,,,,,,,,,,,
Wisconsin Dells, Wisconsin,Spring Brook Resort,Resort/Villas,,Finalist Candidate,2026-05-23,Top candidate in a Dells/Lake Geneva ranking; villa/community format.,,,,,,Likely; verify,,,,,,,,,MSN,60,,,,,,Y,,,,,,Y,,,,,,,,,,,,Wisconsin lake country / Dells,,,,,,,,,,,,,,,,,,
Delavan / Lake Geneva, Wisconsin,Lake Lawn Resort,Lake Resort,,Candidate,2026-05-23,Large lake resort candidate.,,,,,,Likely; verify,,,,,,,,,MKE / ORD,55-90,,,,,,Y,Y,Y,,,Y,,,,,,,,,,,,Wisconsin lake country / Dells,,,,,,,,,,,,,,,,,,
Lake Geneva, Wisconsin,Timber Ridge Lodge,Waterpark Resort,,Candidate,2026-05-23,Family waterpark/suite resort candidate.,,,,,,Likely; verify,,,,,,,,,MKE / ORD,50-80,,,,,,Y,,Y,,,Y,,,,,,,,,,,,Wisconsin lake country / Dells,,,,,,,,,,,,,,,,,,
Lake Geneva, Wisconsin,Grand Geneva Resort & Spa,Resort,,Finalist Candidate,2026-05-23,Large resort; Lake Geneva finalist candidate set.,,,,,,Likely; verify,,,,,,,,,MKE / ORD,50-80,,,,,,Y,,Y,,,Y,,,,,,,,,,,,Wisconsin lake country / Dells,,,,,,,,,,,,,,,,,,
Wisconsin Dells, Wisconsin,Chula Vista Resort,Waterpark Resort,,Candidate,2026-05-23,Large Dells resort/convention property.,,,,,,Likely; verify,,,,,,,,,MSN,60,,,,,,Y,,Y,,,Y,,,,,,,,,,,,Wisconsin lake country / Dells,,,,,,,,,,,,,,,,,,
Wisconsin Dells, Wisconsin,Kalahari Resorts Wisconsin Dells,Waterpark Resort,,Candidate,2026-05-23,Large indoor waterpark/convention resort.,,,,,,Likely; verify,,,,,,,,,MSN,60,,,,,,Y,,Y,,,Y,,,,,,,,,,,,Wisconsin lake country / Dells,,,,,,,,,,,,,,,,,,
Fontana / Lake Geneva, Wisconsin,The Abbey Resort & Avani Spa,Lake Resort,,Candidate,2026-05-23,Lake Geneva resort option.,,,,,,Likely; verify,,,,,,,,,MKE / ORD,60-90,,,,,,Y,Y,Y,,,Y,,,,,,,,,,,,Wisconsin lake country / Dells,,,,,,,,,,,,,,,,,,
Lake Geneva, Wisconsin,The Cove of Lake Geneva,Suite Hotel,,Candidate,2026-05-23,Lake Geneva suite lodging option.,,,,,,Likely; verify,,,,,,,,,MKE / ORD,55-80,,,,,,Y,Y,,,,Y,,,,,,,,,,,,Wisconsin lake country / Dells,,,,,,,,,,,,,,,,,,
Elkhart Lake, Wisconsin,The Osthoff Resort,Lake Resort,,Finalist Candidate,2026-05-23,Elkhart Lake/Osthoff early strong-supported candidate.,,,,,,Likely; verify,,,,,,,,,MKE,65,,,,,,Y,Y,Y,,,Y,,,,,,,,,,,,Wisconsin lake country / Dells,,,,,,,,,,,,,,,,,,
Galena, Illinois,Eagle Ridge Resort & Spa,Resort,,Candidate,2026-05-23,Early Great Lakes/Midwest shortlist property.,,,,,,Likely; verify,,,,,,,,,DBQ / ORD,35-150,,,,,,Y,Y,,,,Y,,,,,,,,,,,,Wisconsin lake country / Dells,,,,,,,,,,,,,,,,,,
Asheville / Western North Carolina,Lake Junaluska,Conference Center / Lake Retreat,,Candidate,2026-05-23,Asheville #1 in prior ranking.,,,,,,Likely; verify,,,,,,,,,AVL,35,,,,,,Y,Y,Y,,,Y,,,,,,,,,,,,Blue Ridge / Appalachians,,,,,,,,,,,,,,,,,,
Asheville / Black Mountain, North Carolina,YMCA Blue Ridge Assembly,Conference Center,,Candidate,2026-05-23,Asheville #2; camp/conference-style option.,,,,,,Likely; verify,,,,,,,,,AVL,25,,,,,,Y,,Y,,,Y,,,,,,,,,,,,Blue Ridge / Appalachians,,,,,,,,,,,,,,,,,,
Asheville / Hendersonville, North Carolina,Horse Shoe Farm,Farm Resort,,Candidate,2026-05-23,Asheville #3; rural retreat option.,,,,,,Likely; verify,,,,,,,,,AVL,15,,,,,,Y,Y,Y,,,Y,,,,,,,,,,,,Blue Ridge / Appalachians,,,,,,,,,,,,,,,,,,
Asheville / Canton, North Carolina,Lake Logan Conference Center,Conference Center,,Candidate,2026-05-23,Asheville #4; lake retreat option.,,,,,,Likely; verify,,,,,,,,,AVL,45,,,,,,,,Y,Y,,Y,,,,,,,,,,,,Blue Ridge / Appalachians,,,,,,,,,,,,,,,,,,
Asheville / Brevard, North Carolina,Deerwoode Reserve,Cabin / Event Property,,Candidate,2026-05-23,Asheville #5; private nature/cabin retreat.,,,,,,,,,,,,,,,,AVL,30,,,,,,,,Y,Y,,,,,,,,,,,,,,Blue Ridge / Appalachians,,,,,,,,,,,,,,,,,,
Asheville, North Carolina,The Omni Grove Park Inn,Resort,,Candidate,2026-05-23,Large Asheville resort option.,,,,,,Likely; verify,,,,,,,,,AVL,20,,,,,,Y,,,,,,Y,,,,,,,,,,,,Blue Ridge / Appalachians,,,,,,,,,,,,,,,,,,
Asheville, North Carolina,The Foundry Hotel Asheville,Hotel,,Candidate,2026-05-23,Downtown Asheville hotel option; less reunion-campus-like.,,,,,,Likely; verify,,,,,,,,,AVL,20,,,,,,,,,,,,Y,,,,,,,,,,,,Blue Ridge / Appalachians,,,,,,,,,,,,,,,,,,
Cashiers / Highlands, North Carolina,High Hampton Resort,Resort,,Candidate,2026-05-23,Mentioned as Asheville-area / NC mountain resort option.,,,,,,Likely; verify,,,,,,,,,AVL / GSP,75-90,,,,,,Y,Y,Y,,,Y,,,,,,,,,,,,Blue Ridge / Appalachians,,,,,,,,,,,,,,,,,,
Greenville / Upstate South Carolina,Lake Keowee / Jocassee Rental Cluster,Rental Cluster Strategy,,Candidate,2026-05-23,Greenville-area lake strategy rather than single resort.,,,,,,Varies; verify,,,,,,,,,GSP,45-75,,,,,,,,Y,Y,,,,,,,,,,,,,,Blue Ridge / Appalachians,,,,,,,,,,,,,,,,,,
Greenville, South Carolina,Greenville Hotel / Downtown Strategy,Hotel Cluster Strategy,,Candidate,2026-05-23,Greenville was researched as a weaker/urban option.,,,,,,Likely; verify,,,,,,,,,GSP,20,,,,,,,,,,,,Y,,,,,,,,,,,,Blue Ridge / Appalachians,,,,,,,,,,,,,,,,,,
Chattanooga, Tennessee,Chattanooga Hotel / Cabin Cluster Strategy,Mixed Lodging Strategy,,Candidate,2026-05-24,Chattanooga researched late; objective property detail not recovered.,,,,,,Varies; verify,,,,,,,,,CHA / ATL,20-120,,,,,,,,Y,Y,,,,,,,,,,,,,,Blue Ridge / Appalachians,,,,,,,,,,,,,,,,,,
Branson / Table Rock Lake, Missouri,Big Cedar Lodge,Resort,,Candidate,2026-05-23,Branson #1 candidate.,,,,,,Likely; verify,,,,,,,,,BKG / SGF,20-60,,,,,,Y,Y,Y,Y,,Y,Y,,,,,,,,,,,,Table Rock Lake / Silver Dollar City,,,,,,,,,,,,,,,,,,
Branson / Table Rock Lake, Missouri,WaterMill Cove Resort,Lake Resort / Villas,,Candidate,2026-05-23,Branson #2; lakefront villa/cabin resort.,,,,,,Likely; verify,,,,,,,,,BKG / SGF,20-60,,,,,,Y,Y,,Y,,,,,,,,,,,,,,Table Rock Lake / Silver Dollar City,,,,,,,,,,,,,,,,,,
Branson / Table Rock Lake, Missouri,Thousand Hills Reunion Lodges,Large Lodges,,Candidate,2026-05-23,Branson #3; large reunion lodge format.,,,,,,Likely; verify,,,,,,,,,BKG / SGF,20-60,,,,,,,,,,,,,,,,,,,,,Table Rock Lake / Silver Dollar City,,,,,,,,,,,,,,,,,,
Branson / Table Rock Lake, Missouri,Bar M Resort & Campground,Resort/Campground,,Candidate,2026-05-23,Branson #4; campground/resort option.,,,,,,Likely; verify,,,,,,,,,BKG / SGF,20-60,,,,,,Y,Y,,,,,,,,,,,,,,,Table Rock Lake / Silver Dollar City,,,,,,,,,,,,,,,,,,
Branson / Table Rock Lake, Missouri,Branson Multi-Home Strategy,Rental Cluster Strategy,,Candidate,2026-05-23,Branson #5; multiple homes near Table Rock Lake.,,,,,,Varies; verify,,,,,,,,,BKG / SGF,20-60,,,,,,,,,,,,,,,,,,,,,Table Rock Lake / Silver Dollar City,,,,,,,,,,,,,,,,,,
Massanutten / Shenandoah Valley, Virginia,Massanutten Resort,Resort,,Finalist,2026-05-23,Massanutten/Shenandoah #1 and current finalist-tier leader.,,,,,,Likely; verify,,,,,,,,,SHD / IAD,30-120,,,,,,Y,Y,Y,Y,,Y,Y,,,,,,,,,Y,Shenandoah National Park,,,,,,,,,,,,,,,,,,
Massanutten / Shenandoah Valley, Virginia,Wintergreen Resort,Mountain Resort,,Candidate,2026-05-23,Shenandoah/Blue Ridge alternative resort.,,,,,,Likely; verify,,,,,,,,,CHO / RIC,75-120,,,,,,Y,,Y,Y,,Y,Y,,,,,,,,,Y,Shenandoah National Park,,,,,,,,,,,,,,,,,,
Massanutten / Shenandoah Valley, Virginia,Shenandoah Cabin Compound Strategy,Rental Cluster Strategy,,Candidate,2026-05-23,Cabin-compound strategy considered for area.,,,,,,Varies; verify,,,,,,,,,IAD / SHD,90-120,,,,,,,,Y,,,,,,,,,,,,Y,Shenandoah National Park,,,,,,,,,,,,,,,,,,
Finger Lakes, New York,Greek Peak Mountain Resort,Mountain Resort,,Finalist Candidate,2026-05-23,Finger Lakes #1; current finalist-tier.,,,,,,Likely; verify,,,,,,,,,ITH / SYR,30-50,,,,,,Y,,Y,,,Y,,,,,,,,,,,,Finger Lakes wine/lake region,,,,,,,,,,,,,,,,,,
Finger Lakes, New York,Inns of Aurora Resort & Spa,Lake Resort / Inns,,Finalist Candidate,2026-05-23,Finger Lakes #2; luxury lake-village format.,,,,,,Likely; verify,,,,,,,,,ITH / SYR,35-75,,,,,,Y,Y,,,,Y,,,,,,,,,,,,Finger Lakes wine/lake region,,,,,,,,,,,,,,,,,,
Finger Lakes, New York,Finger Lakes Premier Properties Cluster,Rental Cluster Strategy,,Candidate,2026-05-23,Finger Lakes #3; multi-house cluster strategy.,,,,,,Varies; verify,,,,,,,,,ROC / SYR / ITH,45-90,,,,,,,,Y,Y,,,,,,,,,,,,,,Finger Lakes wine/lake region,,,,,,,,,,,,,,,,,,
Finger Lakes, New York,Tenwood Lodge Family Retreat,Lodge / Retreat,,Candidate,2026-05-23,Finger Lakes #4.,,,,,,Likely; verify,,,,,,,,,SYR,45,,,,,,,,,Y,,,,,,,,,,,,,Finger Lakes wine/lake region,,,,,,,,,,,,,,,,,,
Finger Lakes, New York,Vanderkamp,Camp / Retreat Center,,Candidate,2026-05-23,Finger Lakes #5; camp/retreat style.,,,,,,Likely; verify,,,,,,,,,SYR,45,,,,,,,,Y,Y,,Y,,,,,,,,,,,,Finger Lakes wine/lake region,,,,,,,,,,,,,,,,,,
Lake George / Adirondacks, New York,Silver Bay YMCA,YMCA Conference Center,,Finalist Candidate,2026-05-23,Lake George #1; finalist-tier family/campus option.,,,,,,Likely; verify,,,,,,,,,ALB,75,,,,,,Y,Y,Y,,,Y,,,,,,,,,,,,Adirondacks / Berkshires,,,,,,,,,,,,,,,,,,
Lake George / Adirondacks, New York,Lodges at Cresthaven,Lake Lodges / Resort,,Candidate,2026-05-23,Lake George #2.,,,,,,Likely; verify,,,,,,,,,ALB,60,,,,,,Y,Y,,,,,,,,,,,,,,,Adirondacks / Berkshires,,,,,,,,,,,,,,,,,,
Lake George / Adirondacks, New York,Garnet Hill Lodge,Lodge,,Candidate,2026-05-23,Lake George #3 and also considered for Lake Placid/Adirondacks.,,,,,,Likely; verify,,,,,,,,,ALB,90,,,,,,,,Y,Y,,Y,,,,,,,,,,,,Adirondacks / Berkshires,,,,,,,,,,,,,,,,,,
Lake George / Adirondacks, New York,Fort William Henry Hotel,Hotel / Conference,,Candidate,2026-05-23,Lake George #4.,,,,,,Likely; verify,,,,,,,,,ALB,60,,,,,,Y,Y,,,,Y,,,,,,,,,,,,Adirondacks / Berkshires,,,,,,,,,,,,,,,,,,
Lake George / Adirondacks, New York,The Sagamore Resort,Luxury Lake Resort,,Candidate,2026-05-23,Lake George #5.,,,,,,Likely; verify,,,,,,,,,ALB,75,,,,,,Y,Y,,,,Y,,,,,,,,,,,,Adirondacks / Berkshires,,,,,,,,,,,,,,,,,,
Lake Placid / Adirondack High Peaks, New York,Mirror Lake Inn,Lake Resort,,Candidate,2026-05-23,Lake Placid #1.,,,,,,Likely; verify,,,,,,,,,SLK / ALB,35-140,,,,,,Y,Y,Y,,,Y,,,,,,,,,,,,Adirondacks / Berkshires,,,,,,,,,,,,,,,,,,
Lake Placid / Adirondack High Peaks, New York,Whiteface Lodge,Lodge Resort,,Candidate,2026-05-23,Lake Placid #2.,,,,,,Likely; verify,,,,,,,,,SLK / ALB,35-140,,,,,,Y,,Y,,,Y,,,,,,,,,,,,Adirondacks / Berkshires,,,,,,,,,,,,,,,,,,
Lake Placid / Adirondack High Peaks, New York,Lake Clear Lodge,Lodge,,Candidate,2026-05-23,Lake Placid #3.,,,,,,Likely; verify,,,,,,,,,SLK,15,,,,,,,,Y,Y,,Y,,,,,,,,,,,,Adirondacks / Berkshires,,,,,,,,,,,,,,,,,,
Lake Placid / Adirondack High Peaks, New York,Lake Placid Lodge,Luxury Lodge,,Candidate,2026-05-23,Lake Placid #5.,,,,,,Likely; verify,,,,,,,,,SLK / ALB,35-140,,,,,,,,Y,Y,,Y,,,,,,,,,,,,Adirondacks / Berkshires,,,,,,,,,,,,,,,,,,
Berkshires, Massachusetts,Jiminy Peak Mountain Resort,Mountain Resort,,Finalist Candidate,2026-05-23,Berkshires Tier 1 property.,,,,,,Likely; verify,,,,,,,,,ALB,45,,,,,,Y,,Y,,,Y,,,,,,,,,,,,Adirondacks / Berkshires,,,,,,,,,,,,,,,,,,
Berkshires, Massachusetts,Vacation Village in the Berkshires,Condo Resort,,Candidate,2026-05-23,Berkshires Tier 1 property.,,,,,,Likely; verify,,,,,,,,,ALB,45,,,,,,Y,,Y,,,Y,,,,,,,,,,,,Adirondacks / Berkshires,,,,,,,,,,,,,,,,,,
Berkshires, Massachusetts,Berkshire Hills Eisenberg Camp,Camp / Retreat Center,,Candidate,2026-05-23,Berkshires Tier 1 camp-style property.,,,,,,Likely; verify,,,,,,,,,ALB,60,,,,,,Y,,Y,,,Y,,,,,,,,,,,,Adirondacks / Berkshires,,,,,,,,,,,,,,,,,,
Door County, Wisconsin,Gordon Lodge,Lake Resort,,Candidate,2026-05-23,Door County #1.,,,, ,,,Likely; verify,,,,,,,,,GRB,75-90,,,,,,Y,Y,Y,,,Y,,,,,,,,,,,,Great Lakes / Northwoods,,,,,,,,,,,,,,,,,,
Door County, Wisconsin,Baileys Harbor Yacht Club Resort,Lake Resort,,Candidate,2026-05-23,Door County #2.,,,, ,,,Likely; verify,,,,,,,,,GRB,75-90,,,,,,Y,Y,,,,,,,,,,,,,,,Great Lakes / Northwoods,,,,,,,,,,,,,,,,,,
Door County, Wisconsin,Westwood Shores Waterfront Resort,Condo Resort,,Candidate,2026-05-23,Door County #3.,,,, ,,,Likely; verify,,,,,,,,,GRB,75-90,,,,,,Y,Y,,,,,,,,,,,,,,,Great Lakes / Northwoods,,,,,,,,,,,,,,,,,,
Door County, Wisconsin,Newport Resort,Condo Resort,,Candidate,2026-05-23,Door County #4.,,,, ,,,Likely; verify,,,,,,,,,GRB,75-90,,,,,,Y,Y,,,,Y,,,,,,,,,,,,Great Lakes / Northwoods,,,,,,,,,,,,,,,,,,
Door County, Wisconsin,The Little Harbor,Lodging / Resort,,Candidate,2026-05-23,Door County #5.,,,, ,,,Likely; verify,,,,,,,,,GRB,75-90,,,,,,Y,Y,,,,,,,,,,,,,,,Great Lakes / Northwoods,,,,,,,,,,,,,,,,,,
Traverse City / Leelanau Peninsula, Michigan,Fountain Point Resort,Cottage Resort,,Finalist Candidate,2026-05-23,Leelanau #1; markets reunions and retreats.,,,19 cottages + 13-room hotel,,,Likely; verify,,,,,,,,,TVC,30,,,,,,Y,Y,,,,,,,,,,,,,,,Great Lakes / Northwoods,,,,,,,,,,,,,,,,,,
Traverse City / Northern Michigan, Michigan,Crystal Mountain,Mountain Resort,,Candidate,2026-05-23,Leelanau/Traverse City #2; also in Mackinac/Northern Michigan list.,,,, ,,,Likely; verify,,,,,,,,,TVC,45,,,,,,Y,,Y,,,Y,,,,,,,,,,,,Great Lakes / Northwoods,,,,,,,,,,,,,,,,,,
Traverse City / Leelanau Peninsula, Michigan,Sleeping Bear Resort,Cabin Resort,,Candidate,2026-05-23,Leelanau #3.,,,, ,,,Likely; verify,,,,,,,,,TVC,30-45,,,,,,Y,Y,Y,,,,,,,,,,,,,,Great Lakes / Northwoods,,,,,,,,,,,,,,,,,,
Traverse City / Leelanau Peninsula, Michigan,Grand Traverse Resort Area,Resort Area,,Candidate,2026-05-23,Leelanau #4; resort-area strategy.,,,, ,,,Likely; verify,,,,,,,,,TVC,15,,,,,,Y,,,,,,Y,,,,,,,,,,,,Great Lakes / Northwoods,,,,,,,,,,,,,,,,,,
Traverse City / Leelanau Peninsula, Michigan,Large Private Compound Rental Strategy,Rental Cluster Strategy,,Candidate,2026-05-23,Leelanau #5.,,,, ,,,Varies; verify,,,,,,,,,TVC,30-60,,,,,,,,Y,Y,,,,,,,,,,,,,,Great Lakes / Northwoods,,,,,,,,,,,,,,,,,,
Petoskey / Charlevoix, Michigan,Inn at Bay Harbor,Lake Resort,,Candidate,2026-05-23,Petoskey/Charlevoix #1.,,,, ,,,Likely; verify,,,,,,,,,PLN / TVC,40-90,,,,,,Y,Y,,,,Y,,,,,,,,,,,,Great Lakes / Northwoods,,,,,,,,,,,,,,,,,,
Petoskey / Charlevoix, Michigan,Lake Charlevoix Private Compound Strategy,Rental Cluster Strategy,,Candidate,2026-05-23,Petoskey/Charlevoix #2.,,,, ,,,Varies; verify,,,,,,,,,TVC / PLN,60-90,,,,,,,,Y,,,,,,,,,,,,,,Great Lakes / Northwoods,,,,,,,,,,,,,,,,,,
Petoskey / Charlevoix, Michigan,Pointes North Inn,Condo Hotel,,Candidate,2026-05-23,Petoskey/Charlevoix #3.,,,, ,,,Likely; verify,,,,,,,,,TVC / PLN,60-90,,,,,,Y,Y,,,,,,,,,,,,,,,Great Lakes / Northwoods,,,,,,,,,,,,,,,,,,
Petoskey / Charlevoix, Michigan,Odawa Casino Resort,Hotel/Casino,,Candidate,2026-05-23,Petoskey/Charlevoix #4; less reunion-fit.,,,, ,,,Likely; verify,,,,,,,,,PLN,35,,,,,,,,,,,,Y,,,,,,,,,,,,Great Lakes / Northwoods,,,,,,,,,,,,,,,,,,
Petoskey / Charlevoix, Michigan,Castle Farms + Lodging Mix,Event Venue + Lodging Strategy,,Candidate,2026-05-23,Petoskey/Charlevoix #5.,,,, ,,,Likely; verify,,,,,,,,,TVC / PLN,60-90,,,,,,,,,,,,,,,,,,,,,Great Lakes / Northwoods,,,,,,,,,,,,,,,,,,
